,country,GWP_import,year,GWP_export
26,LT,13405030754.5,2005,5197641560.37
27,LU,7499290174.41,2005,5749980785.74
28,LV,9433816621.89,2005,3490107132.31
29,MT,3177352482.48,2005,1049291519.12
30,MX,146310028570.0,2005,107649959428.0
31,NL,144039821035.0,2005,89751649204.7
32,NO,49428721615.9,2005,43368120769.6
33,PL,85270369045.4,2005,83442088864.3
34,PT,41865485895.4,2005,12447796049.9
35,RO,34157709962.8,2005,22864202496.1
36,RU,177180540061.0,2005,816972232847.0
37,SE,61619489502.8,2005,26227537233.2
38,SI,12832511893.9,2005,5263307193.76
39,SK,41441739680.6,2005,14904565211.6
40,TR,111964737720.0,2005,49161687790.9
41,TW,125878145799.0,2005,116032612024.0
42,US,1800015165250.0,2005,491487355848.0
43,WA,773695992439.0,2005,1188440916100.0
44,WE,120650934497.0,2005,175576245280.0
45,WF,205500549082.0,2005,408300299520.0
46,WL,239268836517.0,2005,419501092902.0
47,WM,394341683990.0,2005,750387201368.0
48,ZA,35979809352.5,2005,131664263064.0
0,AT,54439989182.5,2006,20353996915.8
1,AU,161650327704.0,2006,166911254541.0
2,BE,98015109678.3,2006,50978652248.7
3,BG,16805353260.7,2006,14755870692.1
4,BR,99036934715.4,2006,165100709084.0
5,CA,201946321199.0,2006,229994056927.0
6,CH,74338925970.0,2006,18188862005.5
7,CN,457704419576.0,2006,1962349149470.0
8,CY,7987647383.95,2006,2730349301.36
9,CZ,54659044811.4,2006,41887317596.2
10,DE,459009577375.0,2006,255300981794.0
11,DK,48591785235.0,2006,29716716884.0
12,EE,7808715653.57,2006,7517185078.06
13,ES,227293790954.0,2006,89276767428.4
14,FI,50651737979.2,2006,26504824045.2
15,FR,317153422051.0,2006,114964085984.0
16,GB,439855739657.0,2006,163790116703.0
17,GR,73595191059.8,2006,32654728082.7
18,HR,20635687184.7,2006,7700542026.13
19,HU,56723195086.8,2006,16168844840.8
20,ID,95803708196.4,2006,165858182270.0
21,IE,56338941335.6,2006,35144124054.0
22,IN,219475859769.0,2006,298753298667.0
23,IT,355720783556.0,2006,102067519608.0
24,JP,565058368644.0,2006,252503944800.0
25,KR,262168786876.0,2006,133052511335.0
26,LT,14863669743.8,2006,5222003859.59
27,LU,7916049031.01,2006,6229446325.82
28,LV,10307423645.1,2006,3429832411.45
29,MT,4154979875.75,2006,1473841240.22
30,MX,158767747709.0,2006,110084516729.0
31,NL,132637407992.0,2006,81400048219.6
32,NO,48475158184.2,2006,41450018041.3
33,PL,70720640416.6,2006,81595849987.2
34,PT,41903267226.5,2006,15047605930.6
35,RO,46452585248.8,2006,20273005689.9
36,RU,205873353627.0,2006,833125389526.0
37,SE,65164427516.5,2006,26899864998.5
38,SI,13083425588.5,2006,5544006563.95
39,SK,43367209132.2,2006,16027175001.4
40,TR,127473348394.0,2006,52421449532.4
41,TW,109389631704.0,2006,127660616923.0
42,US,1875444098920.0,2006,516266239207.0
43,WA,835914991478.0,2006,1124611334550.0
44,WE,129245647341.0,2006,160142806383.0
45,WF,235842660056.0,2006,419511633976.0
46,WL,270576088503.0,2006,424054567000.0
47,WM,464963416362.0,2006,826136693716.0
48,ZA,41381105502.1,2006,133555159088.0
0,AT,52530024376.4,2007,20404479362.9
1,AU,174159507954.0,2007,156703892548.0
2,BE,91974293066.7,2007,56963597649.5
3,BG,26235327537.5,2007,16710757428.2
4,BR,120381019892.0,2007,163359321833.0
5,CA,208361197937.0,2007,227863203281.0
6,CH,65492898305.3,2007,17951055796.6
7,CN,489690516353.0,2007,2176459902220.0
8,CY,7737691723.7,2007,2741062121.8
9,CZ,53675812516.8,2007,42019457149.3
10,DE,451132817363.0,2007,266708437834.0
11,DK,47892536527.1,2007,31503681188.8
12,EE,8032426094.79,2007,5260706965.63
13,ES,236719077608.0,2007,88100836369.1
14,FI,49693018103.3,2007,29162421560.1
15,FR,320934698002.0,2007,110577980248.0
16,GB,412884483880.0,2007,144212254130.0
17,GR,77565334113.3,2007,30121378271.8
18,HR,18025222845.2,2007,7419119705.9
19,HU,50814162777.8,2007,17137485891.5
20,ID,105225564525.0,2007,170615011163.0
21,IE,55908443584.5,2007,34640775140.8
22,IN,248199272376.0,2007,296746700364.0
23,IT,337298341874.0,2007,105959400862.0
24,JP,515731556549.0,2007,277821533991.0
25,KR,275429110524.0,2007,142395957199.0
26,LT,14922654218.5,2007,4394072121.36
27,LU,6470364847.73,2007,6347394609.73
28,LV,11760461468.1,2007,3949402111.02
29,MT,4011120868.36,2007,1280919269.22
